Location,Latitude,Longitude,Distance_to_MRT,Amenity_Count,Safety_Index,Property_Age,Square_Feet,Rental_Price,Property_Type,Nearest_MRT
Sri Hartamas,3.1567,101.6534,1.2,17,8.7,5,1150,2800,Condo,Sri Hartamas
Sri Hartamas,3.1589,101.6578,0.8,18,8.9,3,1250,3100,Condo,Sri Hartamas
Sri Hartamas,3.1545,101.6501,1.6,16,8.5,7,1050,2600,Apartment,Sri Hartamas
Desa ParkCity,3.1823,101.6312,2.0,14,8.3,4,1100,2500,Condo,Desa ParkCity
Desa ParkCity,3.1845,101.6356,1.7,15,8.5,3,1200,2700,Condo,Desa ParkCity
Desa ParkCity,3.1801,101.6278,2.4,13,8.1,6,1000,2300,Apartment,Desa ParkCity
Kota Damansara,3.1634,101.5789,2.2,12,7.8,7,950,2000,Apartment,Kota Damansara
Kota Damansara,3.1656,101.5834,1.9,13,8.0,5,1000,2200,Condo,Kota Damansara
Kota Damansara,3.1612,101.5745,2.6,11,7.6,9,900,1850,Apartment,Kota Damansara
Sunway,3.0678,101.6012,1.5,16,8.2,4,1050,2300,Condo,Sunway LRT
Sunway,3.0701,101.6067,1.2,17,8.4,3,1150,2500,Condo,Sunway LRT
Sunway,3.0656,101.5978,1.9,15,8.0,6,1000,2150,Apartment,Sunway LRT
Ara Damansara,3.1123,101.5678,2.3,11,7.5,8,900,1800,Apartment,Ara Damansara
Ara Damansara,3.1145,101.5723,2.0,12,7.7,6,950,1950,Apartment,Ara Damansara
Ara Damansara,3.1101,101.5634,2.7,10,7.3,10,850,1700,Apartment,Ara Damansara
Seri Kembangan,2.9989,101.7123,3.5,8,6.6,11,800,1250,Apartment,Serdang KTM
Seri Kembangan,3.0012,101.7178,3.2,9,6.8,9,850,1350,Apartment,Serdang KTM
Seri Kembangan,2.9967,101.7089,3.8,7,6.4,13,750,1150,Apartment,Serdang KTM
Kajang,2.9923,101.7889,4.5,7,6.5,12,750,1100,Apartment,Kajang KTM
Kajang,2.9945,101.7934,4.2,8,6.7,10,800,1200,Apartment,Kajang KTM
Kajang,2.9901,101.7845,4.8,6,6.3,14,700,1050,Apartment,Kajang KTM
Semenyih,2.9456,101.8523,6.5,5,6.0,15,650,900,Apartment,Semenyih KTM
Semenyih,2.9478,101.8567,6.2,6,6.2,13,700,950,Apartment,Semenyih KTM
Semenyih,2.9434,101.8489,6.8,4,5.8,16,600,850,Apartment,Semenyih KTM
Rawang,3.3234,101.5789,7.2,6,6.3,14,700,950,Apartment,Rawang KTM
Rawang,3.3256,101.5834,6.9,7,6.5,12,750,1050,Apartment,Rawang KTM
Rawang,3.3212,101.5745,7.5,5,6.1,15,650,900,Apartment,Rawang KTM
Selayang,3.2567,101.6523,3.2,9,6.9,10,800,1350,Apartment,Selayang KTM
Selayang,3.2589,101.6578,2.9,10,7.1,8,850,1450,Apartment,Selayang KTM
Selayang,3.2545,101.6489,3.5,8,6.7,12,750,1250,Apartment,Selayang KTM
Batu Caves,3.2378,101.6834,3.8,7,6.6,13,750,1200,Apartment,Batu Caves KTM
Batu Caves,3.2401,101.6889,3.5,8,6.8,11,800,1300,Apartment,Batu Caves KTM
Batu Caves,3.2356,101.6789,4.1,6,6.4,14,700,1150,Apartment,Batu Caves KTM
Gombak,3.2689,101.7234,4.2,7,6.5,13,750,1200,Apartment,Gombak KTM
Gombak,3.2712,101.7289,3.9,8,6.7,11,800,1300,Apartment,Gombak KTM
Gombak,3.2667,101.7189,4.5,6,6.3,14,700,1150,Apartment,Gombak KTM
Sungai Buloh,3.2123,101.5456,5.5,6,6.4,12,750,1100,Apartment,Sungai Buloh MRT
Sungai Buloh,3.2145,101.5501,5.2,7,6.6,10,800,1200,Apartment,Sungai Buloh MRT
Sungai Buloh,3.2101,101.5412,5.8,5,6.2,14,700,1050,Apartment,Sungai Buloh MRT
