Location,Latitude,Longitude,Distance_to_MRT,Amenity_Count,Safety_Index,Property_Age,Square_Feet,Rental_Price,Property_Type,Nearest_MRT,Rooms,Furnished
"Solaris Dutamas",3.1778,101.6534,1.5,7,8.3,8,1719,2900,Condominium,Publika,4,"Fully Furnished"
Sentul,3.1619,101.6973,1.1,1,8,19,1065,1750,Apartment,"Sentul LRT",3,"Partially Furnished"
Setapak,3.1733,101.7224,2,1,6.8,13,885,1800,Apartment,"Wangsa Maju LRT",3,"Fully Furnished"
Sentul,3.1589,101.7113,2.6,1,7.3,10,1300,1900,Condominium,"Sentul LRT",3,"Partially Furnished"
"Jalan Kuching",3.1799,101.6722,1.7,8,5.8,11,530,1500,Studio,"Titiwangsa LRT",1,"Fully Furnished"
"Bandar Menjalara",3.1744,101.6074,1.2,10,7.3,13,1316,2400,Condominium,Kepong,3,"Fully Furnished"
"Desa Pandan",3.1384,101.7476,0.8,7,7.7,10,1539,4500,"Service residence","Desa Pandan",3,"Fully Furnished"
"Old Klang Road",3.0982,101.6684,2.5,12,7,26,1270,1400,Condominium,"Mid Valley",3,"Partially Furnished"
Cheras,3.1347,101.7523,2.5,13,7.4,4,819,1800,"Service residence","Cheras MRT",3,"Partially Furnished"
"Desa Pandan",3.1314,101.7426,3.4,2,5.5,8,950,1500,Apartment,"Desa Pandan",3,"Partially Furnished"
Setapak,3.2123,101.7194,1.9,14,9,6,1200,3000,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
"Jalan Kuching",3.1799,101.6712,2.4,11,6.8,21,1100,1600,Condominium,"Titiwangsa LRT",3,"Fully Furnished"
Setapak,3.1743,101.7104,3.1,1,7.4,18,1066,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
KLCC,3.1658,101.6993,1.3,9,8.5,13,706,2100,Condominium,"KLCC LRT",2,"Fully Furnished"
Ampang,3.1408,101.746,2.1,6,8,10,890,2500,Condominium,"Ampang Park LRT",2,"Fully Furnished"
Sentul,3.1769,101.6953,3,9,6.6,5,650,1300,"Service residence","Sentul LRT",2,"Partially Furnished"
"Bukit Bintang",3.1338,101.7303,1.9,7,7.8,18,742,2000,"Service residence","Bukit Bintang MRT",2,"Fully Furnished"
"Desa ParkCity",3.1663,101.6182,3.4,4,9,8,862,2000,Condominium,"Desa ParkCity",3,"Fully Furnished"
Cheras,3.1257,101.7533,3.2,6,6.9,23,1300,2100,Condominium,"Cheras MRT",4,"Fully Furnished"
"KL City",3.1278,101.6774,3.8,9,6.2,7,805,1300,Apartment,"Masjid Jamek LRT",3,"Partially Furnished"
"Wangsa Maju",3.2009,101.7656,0.5,8,8.7,5,1000,2600,Condominium,"Wangsa Maju LRT",4,"Fully Furnished"
Ampang,3.1608,101.757,2.3,6,7.5,10,440,2000,"Service residence","Ampang Park LRT",1,"Fully Furnished"
"Bandar Menjalara",3.1824,101.6054,2.6,10,7.9,7,1600,2500,Condominium,Kepong,5,"Fully Furnished"
"Bukit Jalil",3.0477,101.6729,1.5,17,7,5,1028,2500,Condominium,"Bukit Jalil LRT",3,"Fully Furnished"
Setapak,3.2043,101.7244,3,13,7.7,9,940,2000,Condominium,"Wangsa Maju LRT",4,"Fully Furnished"
Setapak,3.2123,101.7274,1.8,13,7.7,13,860,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
"Jalan Kuching",3.1929,101.6772,3.5,1,7,11,1100,1700,Condominium,"Titiwangsa LRT",3,"Partially Furnished"
Setapak,3.1733,101.7424,2,13,7.7,15,914,1600,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
"Jalan Kuching",3.1599,101.6872,1.8,13,7.4,8,1100,2000,Condominium,"Titiwangsa LRT",3,"Fully Furnished"
Kepong,3.2243,101.6435,3,10,7.3,11,1100,1500,Condominium,"Kepong LRT",3,"Partially Furnished"
"Jalan Kuching",3.1629,101.6982,1.5,6,7.5,11,1100,1700,Condominium,"Titiwangsa LRT",3,"Partially Furnished"
Kepong,3.2103,101.6295,1.3,18,7.5,12,1100,1850,Condominium,"Kepong LRT",3,"Fully Furnished"
Sentul,3.1639,101.6893,1.5,17,6.6,10,1200,1700,Condominium,"Sentul LRT",4,"Partially Furnished"
"Jalan Ipoh",3.1839,101.6953,2.1,17,7.2,13,904,1700,"Service residence","Sentul LRT",2,"Fully Furnished"
Kepong,3.2303,101.6195,2.2,15,7.3,8,1300,1800,Condominium,"Kepong LRT",4,"Partially Furnished"
Setapak,3.2003,101.7364,1.9,1,7,8,950,1600,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Kepong,3.2223,101.6165,3.1,16,7.6,5,1100,1600,Condominium,"Kepong LRT",3,"Partially Furnished"
Cheras,3.1267,101.7533,2.9,10,6.9,4,650,1400,"Service residence","Cheras MRT",2,"Not Furnished"
KLCC,3.1428,101.7173,2.9,12,9.9,14,1000,1000,Apartment,"KLCC LRT",3,"Partially Furnished"
Setiawangsa,3.1554,101.7445,1.3,6,8.8,7,1115,2700,Condominium,"Setiawangsa LRT",3,"Partially Furnished"
Gombak,3.2679,101.7434,3.4,16,7.2,6,850,1400,"Service residence","Gombak KTM",3,"Not Furnished"
Cheras,3.1097,101.7523,3,16,7.2,7,717,1500,Condominium,"Cheras MRT",2,"Fully Furnished"
"Wangsa Maju",3.1959,101.7296,5.8,1,7.5,8,850,1350,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1007,101.7473,1,14,7.9,4,864,3000,"Service residence","Cheras MRT",3,"Fully Furnished"
Sentul,3.1829,101.6733,2.7,8,7.1,8,1150,1300,"Service residence","Sentul LRT",3,"Not Furnished"
Pantai,3.1344,101.6798,1.9,7,7,12,1500,2500,Condominium,Bangsar,3,"Fully Furnished"
KLCC,3.1748,101.7193,1,11,9.1,10,1076,7000,Condominium,"KLCC LRT",2,"Fully Furnished"
"Bukit Jalil",3.0497,101.6669,5.1,6,7.1,9,1000,1300,Apartment,"Bukit Jalil LRT",3,"Not Furnished"
Cheras,3.1087,101.7473,3.7,6,6.1,7,550,900,Apartment,"Cheras MRT",2,"Partially Furnished"
Cheras,3.1267,101.7323,1.5,10,6.8,7,967,1300,Condominium,"Cheras MRT",3,"Partially Furnished"
"Wangsa Maju",3.1999,101.7256,1.5,6,6.9,11,1184,2500,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
"Taman Desa",3.1089,101.6954,4.2,12,6.7,40,1050,1300,Condominium,"Taman Desa",2,"Partially Furnished"
KLCC,3.1568,101.7303,0.8,13,9,10,1076,7800,Condominium,"KLCC LRT",2,"Fully Furnished"
"Wangsa Maju",3.1809,101.7586,2.9,14,7.9,15,1267,1700,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
"Wangsa Maju",3.1979,101.7576,2.5,15,7.9,15,1267,2000,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Sentul,3.1899,101.6813,1.2,13,6.9,6,999,2100,"Service residence","Sentul LRT",2,"Partially Furnished"
"Sungai Besi",3.0548,101.7143,1.6,11,7.8,10,1121,1750,Condominium,"Sungai Besi",3,"Fully Furnished"
Kepong,3.2213,101.6205,1.9,14,7.7,4,872,2000,Apartment,"Kepong LRT",2,"Fully Furnished"
Ampang,3.1628,101.775,5.1,3,5.6,12,860,1300,Apartment,"Ampang Park LRT",3,"Not Furnished"
"Sungai Besi",3.0818,101.7143,2.5,9,6.5,13,904,1100,Condominium,"Sungai Besi",3,"Partially Furnished"
"KL City",3.1548,101.6944,3.8,12,5.5,8,835,1300,Apartment,"Masjid Jamek LRT",3,"Fully Furnished"
Jinjang,3.2144,101.6748,3.7,2,7.1,8,750,850,Apartment,"Kepong KTM",3,"Partially Furnished"
"Sri Petaling",3.0789,101.7002,3.9,14,6.2,5,1129,1400,Condominium,"Sri Petaling LRT",3,"Fully Furnished"
Kepong,3.2193,101.6145,2.7,11,6.8,4,1132,1900,"Service residence","Kepong LRT",2,"Partially Furnished"
Sentul,3.1699,101.7003,2,13,7.6,4,700,1700,Condominium,"Sentul LRT",2,"Partially Furnished"
Setapak,3.2113,101.7304,2.5,11,7.1,3,1000,2100,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1027,101.7183,2.4,9,7.3,10,1142,1550,Condominium,"Cheras MRT",4,"Partially Furnished"
Setapak,3.2033,101.7434,1.5,7,5.6,19,1300,1400,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
Setapak,3.1833,101.7364,2.2,10,6.8,10,884,1800,Apartment,"Wangsa Maju LRT",3,"Fully Furnished"
Sentul,3.1669,101.6823,5.2,9,6.2,5,819,1300,"Service residence","Sentul LRT",3,"Partially Furnished"
Sentul,3.1629,101.6843,2.5,8,7,4,850,2500,"Service residence","Sentul LRT",3,"Fully Furnished"
Setapak,3.2103,101.7324,2.2,9,7.4,3,1000,2300,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1217,101.7403,5.8,12,7,4,650,1350,"Service residence","Cheras MRT",2,"Partially Furnished"
Kepong,3.2123,101.6435,4,8,6.8,5,800,1100,Apartment,"Kepong LRT",3,"Partially Furnished"
Sentul,3.1789,101.6873,1,15,7.7,10,1300,1700,Condominium,"Sentul LRT",3,"Partially Furnished"
Bangsar,3.1139,101.659,2.5,11,9,5,1200,1800,Apartment,"Bangsar LRT",3,"Partially Furnished"
Setapak,3.1773,101.7144,3.3,10,6.9,7,770,1600,"Service residence","Wangsa Maju LRT",3,"Fully Furnished"
Setapak,3.1793,101.7334,1.1,10,7.7,8,800,1600,"Service residence","Wangsa Maju LRT",3,"Fully Furnished"
Sentul,3.1949,101.7033,1.1,2,6.8,4,850,1650,"Service residence","Sentul LRT",3,"Partially Furnished"
Sentul,3.1589,101.6733,4.1,8,6.8,4,646,1200,"Service residence","Sentul LRT",2,"Not Furnished"
Pantai,3.1034,101.6528,4.7,9,5.6,37,1000,1200,Condominium,Bangsar,2,"Partially Furnished"
"Sri Petaling",3.0979,101.7032,1.8,10,8.4,11,1899,2599,Condominium,"Sri Petaling LRT",4,"Fully Furnished"
"Desa Pandan",3.1434,101.7276,4.6,4,6.7,8,1000,1400,Apartment,"Desa Pandan",3,"Partially Furnished"
"Wangsa Maju",3.1809,101.7626,1.1,1,8.2,5,877,2600,"Service residence","Wangsa Maju LRT",4,"Fully Furnished"
Setapak,3.1973,101.7314,5.9,10,7.4,10,360,900,"Service residence","Wangsa Maju LRT",1,"Fully Furnished"
"Wangsa Maju",3.2049,101.7416,2.4,8,5.5,10,521,1200,"Service residence","Wangsa Maju LRT",1,"Partially Furnished"
Kepong,3.2083,101.6465,1.7,18,6.7,6,1100,2200,Condominium,"Kepong LRT",3,"Fully Furnished"
"Desa ParkCity",3.1733,101.6312,2.3,11,8.6,8,862,2300,Condominium,"Desa ParkCity",3,"Fully Furnished"
Cheras,3.1207,101.7193,2.8,18,7.1,10,1142,1500,Condominium,"Cheras MRT",4,"Partially Furnished"
"Bukit Jalil",3.0587,101.6909,2.4,14,7.9,7,1224,1600,Condominium,"Bukit Jalil LRT",3,"Fully Furnished"
Sentul,3.1729,101.6883,5.7,2,6.4,13,700,700,Apartment,"Sentul LRT",3,"Not Furnished"
"Jalan Ipoh",3.1729,101.6763,2.7,14,8,8,1193,1900,Condominium,"Sentul LRT",3,"Partially Furnished"
Ampang,3.1448,101.76,1.7,13,6.9,7,1200,2100,"Service residence","Ampang Park LRT",3,"Fully Furnished"
Setapak,3.2123,101.7404,2.3,1,6.9,6,926,1399,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1127,101.7233,3.4,6,5.6,15,935,1300,Apartment,"Cheras MRT",3,"Not Furnished"
"Desa Pandan",3.1294,101.7376,5.7,12,7.5,5,900,1500,Apartment,"Desa Pandan",3,"Partially Furnished"
Setapak,3.1903,101.7394,2.3,3,7.5,5,650,1000,Flat,"Wangsa Maju LRT",3,"Not Furnished"
Kepong,3.1983,101.6455,2.6,10,7.4,13,1070,1600,Condominium,"Kepong LRT",3,"Partially Furnished"
Sentul,3.1759,101.7093,3,11,7,4,850,2200,"Service residence","Sentul LRT",3,"Fully Furnished"
KLCC,3.1508,101.7093,2.9,9,9.6,13,705,1900,Condominium,"KLCC LRT",2,"Fully Furnished"
Kepong,3.2253,101.6275,2.6,12,7.4,4,866,2200,Apartment,"Kepong LRT",2,"Fully Furnished"
"KL City",3.1648,101.6884,1.7,10,7.9,5,950,3300,Apartment,"Masjid Jamek LRT",3,"Fully Furnished"
"KL City",3.1388,101.6904,3.4,8,6.7,10,600,2000,"Service residence","Masjid Jamek LRT",1,"Fully Furnished"
Kepong,3.2183,101.6215,2,4,6.8,14,955,1000,Apartment,"Kepong LRT",3,"Partially Furnished"
Setapak,3.1803,101.7404,2.7,4,6.8,15,650,850,Apartment,"Wangsa Maju LRT",3,"Not Furnished"
Bangsar,3.1369,101.683,3.2,11,9.4,27,1000,2500,Condominium,"Bangsar LRT",3,"Fully Furnished"
Cheras,3.1367,101.7193,4.5,12,5.7,27,1000,1500,Condominium,"Cheras MRT",3,"Fully Furnished"
"Bukit Jalil",3.0587,101.6659,1,13,7,8,1200,1650,Condominium,"Bukit Jalil LRT",3,"Fully Furnished"
Sentul,3.1749,101.6833,2.5,8,7.6,4,850,2500,"Service residence","Sentul LRT",3,"Partially Furnished"
"Jalan Ipoh",3.2049,101.6963,2.7,1,6.8,15,1062,1500,Condominium,"Sentul LRT",3,"Partially Furnished"
Bangsar,3.1179,101.672,2.5,2,9.4,6,700,1200,Flat,"Bangsar LRT",3,"Partially Furnished"
Setapak,3.1963,101.7104,2.6,8,7.2,13,1040,1500,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.2073,101.7114,2.2,3,7.3,5,1333,1500,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
Cheras,3.1287,101.7183,2.3,13,7,2,850,1800,Condominium,"Cheras MRT",3,"Partially Furnished"
"KL City",3.1568,101.6824,1.9,1,7.1,13,1100,1500,Apartment,"Masjid Jamek LRT",3,"Partially Furnished"
Kepong,3.2093,101.6445,5.1,7,5.8,35,850,850,Apartment,"Kepong LRT",3,"Not Furnished"
"Bukit Jalil",3.0567,101.6629,1,1,7.9,7,1325,3700,Condominium,"Bukit Jalil LRT",3,"Fully Furnished"
Kepong,3.2073,101.6455,1.5,10,7.3,18,962,999,Condominium,"Kepong LRT",3,"Not Furnished"
"Taman Desa",3.1289,101.7004,2.4,15,6.8,3,925,2100,Condominium,"Taman Desa",3,"Fully Furnished"
"Mont Kiara",3.1535,101.6618,0.8,13,9.1,27,1690,4500,Condominium,"Mont Kiara",4,"Fully Furnished"
"Desa Pandan",3.1234,101.7386,2.2,8,6.7,8,570,1550,"Service residence","Desa Pandan",1,"Fully Furnished"
Cheras,3.1217,101.7513,3.1,11,6.9,4,1050,2300,"Service residence","Cheras MRT",3,"Fully Furnished"
"Old Klang Road",3.0712,101.6654,4.5,8,5.5,8,900,1500,"Service residence","Mid Valley",3,"Partially Furnished"
Setapak,3.1983,101.7414,3.5,10,6.8,3,1100,2499,"Service residence","Wangsa Maju LRT",4,"Partially Furnished"
Cheras,3.1277,101.7193,5.1,15,6.1,15,1150,1450,Condominium,"Cheras MRT",3,"Fully Furnished"
"Bukit Bintang",3.1398,101.7063,2,11,8,21,2200,4000,Condominium,"Bukit Bintang MRT",4,"Fully Furnished"
Cheras,3.0997,101.7493,4.8,8,7.1,4,650,1100,"Service residence","Cheras MRT",2,"Partially Furnished"
Cheras,3.1027,101.7293,3.1,13,6.6,4,819,1750,"Service residence","Cheras MRT",3,"Partially Furnished"
Cheras,3.1167,101.7173,3.3,10,6.8,8,762,1800,"Service residence","Cheras MRT",1,"Partially Furnished"
Sentul,3.1739,101.6893,3.1,17,7.3,12,743,1700,Apartment,"Sentul LRT",2,"Fully Furnished"
Bangsar,3.1379,101.689,2.5,5,8.6,11,638,2200,Condominium,"Bangsar LRT",1,"Fully Furnished"
"Bukit Jalil",3.0617,101.6769,1.2,10,7.4,7,900,2000,Condominium,"Bukit Jalil LRT",4,"Fully Furnished"
"Bukit Jalil",3.0377,101.6659,4.9,6,6.1,4,850,1300,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
Cheras,3.1117,101.7203,2.3,14,7.5,2,850,2200,Condominium,"Cheras MRT",3,"Fully Furnished"
Setapak,3.2103,101.7264,5.7,1,5.5,7,926,1300,"Service residence","Wangsa Maju LRT",3,"Not Furnished"
Setapak,3.1743,101.7194,1.3,9,7.5,7,1313,2400,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1017,101.7253,2.5,3,6.9,4,850,1400,"Service residence","Cheras MRT",3,"Not Furnished"
Segambut,3.1684,101.6769,2.7,13,8,11,1537,2500,Condominium,"Segambut KTM",3,"Fully Furnished"
"Sungai Besi",3.0618,101.7003,1.6,5,6.8,9,800,1200,Condominium,"Sungai Besi",3,"Not Furnished"
Setapak,3.2033,101.7294,3.3,9,7.8,18,1066,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Cheras,3.1317,101.7533,2.2,12,7.3,9,450,1400,Studio,"Cheras MRT",1,"Fully Furnished"
Cheras,3.1197,101.7183,3.2,10,7.4,2,850,1800,Condominium,"Cheras MRT",3,"Partially Furnished"
Setapak,3.1843,101.7264,2.9,15,6.6,3,1300,550,"Service residence","Wangsa Maju LRT",4,"Partially Furnished"
"Bukit Jalil",3.0587,101.6969,5.6,6,6,11,800,1000,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
"Jalan Kuching",3.1779,101.6812,3.8,10,5.9,21,1100,1500,Condominium,"Titiwangsa LRT",3,"Partially Furnished"
"Jalan Kuching",3.1859,101.6642,1.9,11,6.7,21,1100,1600,Condominium,"Titiwangsa LRT",3,"Fully Furnished"
Sentul,3.1709,101.7103,1.9,10,6,19,650,1400,Apartment,"Sentul LRT",3,"Partially Furnished"
Cheras,3.1327,101.7433,2.2,10,6.5,4,650,1100,"Service residence","Cheras MRT",2,"Not Furnished"
Cheras,3.1327,101.7343,2.8,10,7.3,4,819,1488,"Service residence","Cheras MRT",3,"Partially Furnished"
Setapak,3.1973,101.7184,2.6,1,7.5,6,850,1500,Condominium,"Wangsa Maju LRT",3,"Not Furnished"
Setapak,3.2023,101.7244,3.3,8,6.5,7,829,2200,Apartment,"Wangsa Maju LRT",3,"Fully Furnished"
"Bukit Jalil",3.0437,101.6819,4.8,10,6,13,980,1400,Condominium,"Bukit Jalil LRT",2,"Fully Furnished"
"Jalan Kuching",3.1699,101.6822,4.6,12,5.9,21,1100,1500,Condominium,"Titiwangsa LRT",3,"Fully Furnished"
"Desa Pandan",3.1084,101.7376,1.6,11,7.4,15,900,1600,Apartment,"Desa Pandan",3,"Fully Furnished"
Cheras,3.1317,101.7403,3.5,5,6.4,11,1185,1500,Condominium,"Cheras MRT",3,"Partially Furnished"
Setapak,3.1873,101.7204,4.5,10,7.1,22,931,1200,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1067,101.7153,4.5,5,6.8,11,950,1500,Apartment,"Cheras MRT",3,"Partially Furnished"
"Old Klang Road",3.0972,101.6874,4.2,12,5.8,7,775,1400,Condominium,"Mid Valley",1,"Fully Furnished"
"Sri Petaling",3.0709,101.6712,2.3,6,7,25,1421,1600,Condominium,"Sri Petaling LRT",4,"Partially Furnished"
Setapak,3.1743,101.7074,2.9,9,7.1,18,1076,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Setapak,3.1893,101.7224,1,10,7.5,12,900,1600,Apartment,"Wangsa Maju LRT",3,"Fully Furnished"
Kepong,3.2303,101.6345,3.2,2,5.7,6,750,1000,Apartment,"Kepong LRT",3,"Not Furnished"
Setapak,3.1933,101.7364,1.3,6,7.8,7,900,1600,Apartment,"Wangsa Maju LRT",3,"Fully Furnished"
Cheras,3.1227,101.7363,1.9,3,8,14,1018,1600,Condominium,"Cheras MRT",3,"Partially Furnished"
Cheras,3.1127,101.7443,1.2,9,7.8,10,1142,1600,Condominium,"Cheras MRT",4,"Partially Furnished"
"Bukit Jalil",3.0497,101.6819,1.6,9,7.8,4,750,3200,"Service residence","Bukit Jalil LRT",2,"Fully Furnished"
"Wangsa Maju",3.1949,101.7476,2.7,2,5.9,8,600,900,Flat,"Wangsa Maju LRT",2,"Partially Furnished"
Setapak,3.2093,101.7164,2.5,1,7.4,17,1328,1600,Condominium,"Wangsa Maju LRT",4,"Not Furnished"
Setapak,3.2003,101.7214,2.8,1,7.7,8,900,1700,"Service residence","Wangsa Maju LRT",3,"Fully Furnished"
Setapak,3.1923,101.7084,1.3,9,6.9,6,1313,1800,Condominium,"Wangsa Maju LRT",4,"Not Furnished"
Setapak,3.1963,101.7224,2.2,1,7.4,18,1067,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Cheras,3.1217,101.7433,1.6,9,6.4,4,650,1300,"Service residence","Cheras MRT",2,"Partially Furnished"
Setapak,3.1903,101.7404,2.9,9,5.8,30,820,1100,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Ampang,3.1548,101.748,4.9,11,7.3,7,890,900,Condominium,"Ampang Park LRT",3,"Partially Furnished"
Cheras,3.1307,101.7183,2.9,4,6.6,12,1006,1200,Apartment,"Cheras MRT",3,"Partially Furnished"
"Jalan Kuching",3.1919,101.6662,3,14,7.3,12,1018,2000,Condominium,"Titiwangsa LRT",3,"Fully Furnished"
Bangsar,3.1279,101.668,2,1,9,11,750,1200,Flat,"Bangsar LRT",3,"Not Furnished"
"Wangsa Maju",3.1909,101.7566,4.2,1,6.3,14,520,1200,Flat,"Wangsa Maju LRT",2,"Not Furnished"
"Wangsa Maju",3.2149,101.7426,2.5,7,6.5,6,1070,1500,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Sentul,3.1649,101.7033,3.4,13,8,4,850,2500,"Service residence","Sentul LRT",3,"Fully Furnished"
"Wangsa Maju",3.2049,101.7626,4.5,10,6.2,6,580,750,Flat,"Wangsa Maju LRT",2,"Partially Furnished"
"Desa Pandan",3.1244,101.7566,3.4,8,7,8,900,1200,Condominium,"Desa Pandan",3,"Not Furnished"
Sentul,3.1599,101.6903,2.9,3,6.7,13,1010,1400,Condominium,"Sentul LRT",3,"Not Furnished"
"Mont Kiara",3.1795,101.6528,0.5,18,9.5,8,1268,3000,Condominium,"Mont Kiara",4,"Fully Furnished"
Cheras,3.1167,101.7343,2.3,12,5.5,11,865,1400,Condominium,"Cheras MRT",3,"Fully Furnished"
Kepong,3.2173,101.6425,2.4,13,7.3,5,932,1400,"Service residence","Kepong LRT",3,"Partially Furnished"
Sentul,3.1839,101.7123,4.1,18,6.4,8,1095,1350,"Service residence","Sentul LRT",3,"Not Furnished"
"Old Klang Road",3.0842,101.6804,2,14,7.3,10,775,1600,Duplex,"Mid Valley",1,"Fully Furnished"
"Old Klang Road",3.0902,101.6654,3.2,14,7.6,5,775,1700,"Service residence","Mid Valley",2,"Fully Furnished"
"Jalan Kuching",3.1929,101.6852,2,12,7.4,18,1290,1880,"Service residence","Titiwangsa LRT",3,"Partially Furnished"
Segambut,3.1974,101.6769,3.5,7,8,8,1298,1800,Condominium,"Segambut KTM",3,"Partially Furnished"
"Jalan Kuching",3.1959,101.6982,3.4,18,7.1,5,1105,1800,"Service residence","Titiwangsa LRT",3,"Fully Furnished"
"Bukit Jalil",3.0447,101.6729,4.2,7,6.9,11,1200,1300,Apartment,"Bukit Jalil LRT",4,"Not Furnished"
Bangsar,3.1189,101.667,2.5,6,9.4,5,1200,1800,Apartment,"Bangsar LRT",3,"Partially Furnished"
Cheras,3.1297,101.7413,3.5,5,8,10,1142,1800,Condominium,"Cheras MRT",4,"Partially Furnished"
Setiawangsa,3.1714,101.7325,1.5,1,5.7,11,874,1500,Apartment,"Setiawangsa LRT",3,"Partially Furnished"
Cheras,3.1027,101.7463,3,1,7.3,10,850,1300,Apartment,"Cheras MRT",3,"Fully Furnished"
Cheras,3.1217,101.7363,5.3,10,5.5,26,975,1200,Condominium,"Cheras MRT",3,"Partially Furnished"
Cheras,3.1277,101.7203,2.9,6,6.9,12,700,600,Apartment,"Cheras MRT",3,"Not Furnished"
